Variables ->,DIFFREALGDP_obs,DIFFREALEC_obs,DIFFREALEIK_obs,DIFFREALECD_obs,DIFFREALECH_obs,DIFFREALW_obs,INFCNA_obs,INFCOR_obs,INFK_obs,R_obs,RT2_obs,unemp_obs,AH_obs
1992Q2,0.7872385072911784,0.253968615894936,3.0070165289640354,0.378038777270033,2.9771310542643574,0.2908823606850392,0.4350372176692431,0.4442991779083064,0.005379415455758568,0.3815409386167715,0.6565352070223525,-258.3821601712345,-4.590314570141185
1992Q3,0.6914956605880642,0.5089108694549574,1.329795941696447,1.7811474366914422,-0.352472569177554,0.6382779824505269,0.42097631086126075,0.3464576914392433,-0.16302892293381427,0.2767560424617419,0.4156472560479174,-257.40270062906825,-4.831181944509044
1992Q4,0.7451817412841475,0.6457497831299853,2.3869982111000274,1.6223026167653276,3.3482186047932423,-0.18643626076429087,0.494029702921687,0.5004613156085695,-0.06798913071873477,0.24435449761300476,0.5099137010285064,-260.4161197980258,-4.563908122088112
1993Q1,-0.12593571446130725,-0.12081974282813707,0.7756563467913083,0.6097461749010581,-0.33488653634108134,-1.3102065546800572,0.4047456053999179,0.47184109220150483,-0.2529880539100209,0.267070551170019,0.4572502095682387,-263.092336957975,-4.083072187429426
1993Q2,0.287331596045281,0.1373373987766302,1.7228072685609688,2.8235799718652395,0.9187493778420535,0.11078991647273312,0.4933055316648002,0.5548680998753722,0.34434998268539646,0.27874223599901027,0.4398398205523786,-263.4898310221097,-3.3328116073233716
1993Q3,0.18253138724656548,0.6790173652297229,0.5689628455100428,0.7257984788465985,3.2635512279350403,-0.5729918269477661,0.26941444746049453,0.3699353534634675,0.32615316242070663,0.31492786941336925,0.45524622091390365,-266.79700519481344,-3.1325465975434064
1993Q4,1.0572496944576093,0.22346214494140315,3.297389052798692,1.978633921792334,4.588703339554579,0.13584203538996584,0.4212613379347112,0.3388706286947686,0.519488697430057,0.3185590841961514,0.5018280791562211,-268.7422882622823,-2.5552295653802126
1994Q1,0.671824345874589,0.5082798412490576,0.7973517709494065,1.9435309190932422,1.0700400075088659,-1.095875338351852,0.2166834597699242,0.2917741202147094,0.11340790923860655,0.3946695593012436,0.6347913678906654,-269.2206917123197,-2.3024685289698255
1994Q2,1.0522266758977652,0.29675121719784636,1.282147668647983,0.6492031225089212,2.7713196646115774,0.3120834229802419,0.4261937340179941,0.5224866233916314,0.4984406180313892,0.5951509193748716,0.9705613554533943,-274.44062482038987,-1.0663645899390062
1994Q3,0.28918261108971777,0.27964536880729596,1.4201960889367717,0.6106075016481347,-1.8953375170396722,-0.6504716544304755,0.5960160566342592,0.4211352654383753,0.6272141188126283,0.7505516204727358,1.092901534729979,-277.2012692112669,-0.26127843325634004
