date,prob_full5_h4,prob_fin2_h4,magnitude_full5_h4,threshold_h4,prob_full5_h12,prob_fin2_h12,magnitude_full5_h12,threshold_h12
1974Q1,0.9229778893824298,0.8042708043468397,2.409756791291162,0.473333333333334,0.8316391921007741,0.678376200607165,3.9617907791249167,1.8866666666666678
1974Q2,0.9887994967326739,0.9660449436988324,3.038878078836503,0.473333333333334,0.9216175111682213,0.8443747974105942,4.662988198055357,1.8866666666666678
1974Q3,0.9963641964243254,0.9872431125535569,3.481633637273328,0.473333333333334,0.9204310738926826,0.8584064255405112,4.803278293577426,1.8866666666666678
1974Q4,0.9850498585123542,0.9282703525485241,3.336636838278265,0.473333333333334,0.6007096696311067,0.40534408813546025,3.5761233791337173,1.8866666666666678
1975Q1,0.6188900413134174,0.26946220727335624,2.2115136320521502,0.473333333333334,0.060839165098137034,0.0803018178174558,1.5385731941365854,1.8866666666666678
1975Q2,0.07503856601753078,0.0277921547982045,1.10346693271976,0.473333333333334,0.01223311878609167,0.04327489621825505,0.33579189088381334,1.8866666666666678
1975Q3,0.06949671075658936,0.03537089920637549,0.9236492499720104,0.473333333333334,0.014734886382201952,0.0682636709692379,0.37355373279053605,1.8866666666666678
1975Q4,0.04243874294585483,0.024895825438555907,0.7172938035711725,0.473333333333334,0.008941091095156442,0.044091600004608975,-0.026434508814923152,1.8866666666666678
1976Q1,0.023406400032872414,0.01711038930332339,0.4647758351784308,0.473333333333334,0.007714253228913704,0.037168546780914594,-0.24389268361145477,1.8866666666666678
1976Q2,0.017016796173754293,0.016152547622778703,0.25556904628161914,0.473333333333334,0.00805717563596063,0.056098431351554595,-0.2637837398170211,1.8866666666666678
1976Q3,0.012377601367138539,0.013962736609932021,0.0712622567452309,0.473333333333334,0.006611265494774285,0.06819696525609491,-0.4019276819375617,1.8866666666666678
1976Q4,0.016801196391614166,0.019772774397235765,0.15601558105304347,0.473333333333334,0.006221829970871903,0.06932384961112018,-0.4231681565964025,1.8866666666666678
1977Q1,0.008940934300270207,0.008413361272482461,0.060640219702046805,0.473333333333334,0.008884250479667136,0.06246895706659011,-0.2313721192418141,1.8866666666666678
1977Q2,0.017063740382849062,0.013254953241274793,0.3429987873267365,0.473333333333334,0.020220432249588284,0.08932898019971183,0.3260580241283737,1.8866666666666678
1977Q3,0.030473039750897293,0.025886028010361835,0.4703586905225505,0.473333333333334,0.032497441507996556,0.14309759493175028,0.638701937429812,1.8866666666666678
