date,unrate,infl4q,credit_gr16q,bond_spread,term_spread,du_h4,du_h12
1970Q3,5.166666666666667,4.367656281889856,1.0711897845657257,1.9500000000000002,0.753333333333333,0.8666666666666671,-0.36666666666666714
1970Q4,5.833333333333333,4.509620783319348,1.2621861547189492,2.423333333333333,1.2866666666666662,0.10000000000000053,-1.0666666666666664
1971Q1,5.933333333333334,4.299952016037546,1.2403896811399873,2.5133333333333345,2.1599999999999997,-0.16666666666666696,-0.8000000000000007
1971Q2,5.900000000000001,4.333502668670415,1.1993376065719012,2.360000000000001,1.6799999999999997,-0.20000000000000107,-0.7000000000000011
1971Q3,6.033333333333334,4.342544379820337,1.2238260970780903,2.2199999999999998,1.0066666666666668,-0.4666666666666677,-0.40000000000000124
1971Q4,5.933333333333334,3.669912672964065,0.7127675760201214,2.5233333333333343,1.1399999999999997,-0.5666666666666664,0.666666666666667
1972Q1,5.766666666666667,3.7785333879235217,1.1617134227116286,2.2,2.4866666666666672,-0.833333333333333,2.499999999999999
1972Q2,5.7,3.2208285820063813,1.3146511681129387,2.080000000000001,1.8433333333333337,-0.7666666666666666,3.166666666666667
1972Q3,5.566666666666666,3.1199358626655056,1.4806958550083384,1.88,1.5466666666666669,-0.7666666666666666,2.9000000000000004
1972Q4,5.366666666666667,3.312997465767917,1.4413997043844808,1.6199999999999992,1.2266666666666675,-0.6000000000000005,2.933333333333332
1973Q1,4.933333333333334,3.4608648650663336,1.7757325412765468,1.3633333333333333,0.06666666666666643,0.1999999999999993,2.8
1973Q2,4.933333333333334,4.788687654574426,1.7285500699336593,1.2866666666666662,-1.009999999999999,0.2666666666666666,2.633333333333333
1973Q3,4.8,5.716707203601352,1.8887079521424253,1.2599999999999998,-3.3533333333333335,0.833333333333333,2.9333333333333336
1973Q4,4.766666666666667,6.933084718064869,1.6914662118453716,1.6833333333333336,-3.2433333333333323,1.833333333333334,3.0
1974Q1,5.133333333333333,8.663835168005697,1.9146819804529032,1.4899999999999993,-2.2699999999999987,3.133333333333333,2.366666666666667
1974Q2,5.2,9.553359235014074,2.04792806169717,1.5199999999999996,-3.706666666666667,3.666666666666667,1.9333333333333327
1974Q3,5.633333333333333,10.41425236915087,2.0646647752318574,1.8466666666666685,-4.126666666666666,2.833333333333334,1.2666666666666666
1974Q4,6.6000000000000005,10.895555731222917,1.8956445787121332,2.9000000000000012,-1.6766666666666667,1.6999999999999984,0.06666666666666643
1975Q1,8.266666666666666,9.831969312243032,1.6752677570740073,3.1066666666666665,1.2366666666666664,-0.5333333333333323,-1.9333333333333327
1975Q2,8.866666666666667,8.2567820162525,1.3516805317568947,2.58,2.6300000000000017,-1.3000000000000007,-2.866666666666667
1975Q3,8.466666666666667,7.448021778898836,1.0888603602599916,2.286666666666667,2.1366666666666667,-0.7333333333333334,-2.4333333333333327
1975Q4,8.299999999999999,6.602649043133277,0.9024334342753274,2.5166666666666657,2.6500000000000004,-0.5333333333333323,-2.3999999999999995
1976Q1,7.733333333333333,5.831513729106731,0.4552884265984475,2.503333333333332,2.9266666666666667,-0.2333333333333334,-1.8666666666666663
1976Q2,7.566666666666666,5.446319658242956,0.13304980844852232,2.123333333333333,2.576666666666667,-0.43333333333333357,-1.8666666666666663
1976Q3,7.733333333333333,5.099962969326312,0.053191509427915167,1.8899999999999997,2.4466666666666663,-0.8333333333333339,-1.8666666666666663
1976Q4,7.766666666666667,5.002902538240992,0.02641310335500225,2.0233333333333325,2.3166666666666664,-1.0999999999999996,-1.8000000000000007
1977Q1,7.5,5.698075122079429,0.0,1.7533333333333347,2.6933333333333325,-1.166666666666667,-1.2000000000000002
1977Q2,7.133333333333333,6.560538891378655,0.02608242281444169,1.6266666666666678,2.213333333333334,-1.1333333333333329,0.20000000000000018
1977Q3,6.8999999999999995,6.54433259463815,0.0,1.4733333333333336,1.5366666666666662,-0.8666666666666654,0.7666666666666675
1977Q4,6.666666666666667,6.39070377463085,0.20682641232998206,1.3466666666666667,1.083333333333334,-0.7666666666666675,0.7333333333333325
1978Q1,6.333333333333333,6.22769295215145,0.20682641232998206,1.1866666666666674,1.253333333333333,-0.4666666666666659,1.1000000000000005
1978Q2,6.0,6.56460094411509,0.05102042587131362,1.1500000000000004,1.0366666666666662,-0.2999999999999998,1.3999999999999995
1978Q3,6.033333333333334,6.812901252726148,0.0,1.0099999999999998,0.39000000000000057,-0.16666666666666696,1.3666666666666654
1978Q4,5.8999999999999995,7.2714809852052795,-0.02536783576366148,0.9666666666666668,-0.7633333333333336,0.06666666666666643,2.333333333333335
1979Q1,5.866666666666667,7.510895158821194,0.15384663935945714,1.049999999999999,-0.966666666666665,0.4333333333333327,2.966666666666667
1979Q2,5.7,8.174787715060946,0.5864623848526618,1.2799999999999994,-1.0666666666666664,1.6333333333333329,3.7333333333333334
1979Q3,5.866666666666667,8.884794983975107,0.9685207079107654,1.2899999999999991,-1.8433333333333337,1.7999999999999998,4.033333333333333
1979Q4,5.966666666666666,9.405084544002184,1.1961568944061534,1.370000000000001,-3.129999999999999,1.4333333333333336,4.7
1980Q1,6.3,10.496897046461344,1.6929543513737715,1.4933333333333323,-3.0600000000000005,1.1333333333333337,4.066666666666667
1980Q2,7.333333333333333,10.217646091544998,1.5686378346393088,2.880000000000001,-2.210000000000001,0.06666666666666643,2.8
1980Q3,7.666666666666667,10.079635948525699,1.7195077261483604,2.213333333333333,1.1166666666666671,-0.2666666666666675,1.7000000000000002
1980Q4,7.3999999999999995,10.130765159880093,1.7089772741262548,2.2466666666666697,-3.4300000000000015,0.8333333333333348,1.1333333333333337
1981Q1,7.433333333333334,9.73363628369973,1.3350194181778812,2.2866666666666653,-3.6099999999999977,1.4000000000000004,0.43333333333333357
1981Q2,7.3999999999999995,8.981022163473828,1.0965551690342985,2.0200000000000014,-4.030000000000001,2.033333333333334,0.0333333333333341
1981Q3,7.3999999999999995,8.30241965669149,0.8432071623221564,1.6300000000000043,-2.7299999999999986,2.500000000000001,0.0333333333333341
1981Q4,8.233333333333334,7.380335399848582,0.5852684591312285,2.596666666666666,0.5000000000000018,2.433333333333332,-0.9333333333333345
1982Q1,8.833333333333334,6.081033515516563,0.6606075417628391,2.7400000000000038,0.06666666666666465,1.5333333333333332,-1.6000000000000005
1982Q2,9.433333333333334,5.375155292124574,0.629122277358035,2.8500000000000014,-0.5833333333333339,0.6999999999999993,-2.1333333333333337
1982Q3,9.9,5.308026400378901,0.7014488198789328,3.133333333333333,2.110000000000001,-0.5333333333333332,-2.7
1982Q4,10.666666666666666,4.884791268635273,0.8483848012659019,3.7233333333333345,1.379999999999999,-2.133333333333333,-3.633333333333332
1983Q1,10.366666666666667,4.445110348953381,0.9775681503435653,3.2699999999999996,1.9100000000000001,-2.5,-3.333333333333333
1983Q2,10.133333333333333,4.397184138622715,0.8181196071908927,2.706666666666665,1.7400000000000002,-2.6999999999999993,-2.966666666666666
1983Q3,9.366666666666667,4.136873735048703,0.7146864212978171,1.8999999999999986,2.166666666666668,-1.9333333333333336,-2.4000000000000012
1983Q4,8.533333333333333,3.696086144188933,0.6863176102172514,1.92,2.2566666666666677,-1.2333333333333334,-1.7000000000000002
1984Q1,7.866666666666667,3.9490317195239073,0.5882624352548562,1.8000000000000007,2.256666666666666,-0.6333333333333337,-1.2666666666666684
1984Q2,7.433333333333334,4.003717005209475,1.0015995120162169,1.5,2.6433333333333344,-0.13333333333333375,-1.166666666666667
1984Q3,7.433333333333334,3.464204444671079,0.996728994124583,1.8433333333333337,1.4766666666666666,-0.2333333333333334,-1.4333333333333336
1984Q4,7.3,3.4228362414322975,1.25026051436653,1.8633333333333333,2.4766666666666666,-0.2666666666666657,-1.4666666666666668
1985Q1,7.233333333333333,3.520161895154123,1.8312615434898132,1.8099999999999987,3.1066666666666674,-0.1999999999999993,-1.5333333333333332
1985Q2,7.3,3.362887507706496,2.1503218665010047,2.2066666666666688,2.8899999999999997,-0.13333333333333286,-1.833333333333334
1985Q3,7.2,3.377345777102933,2.5988122419611965,2.133333333333333,2.4366666666666665,-0.23333333333333428,-1.7333333333333343
1985Q4,7.033333333333334,3.4556440276725455,3.228006736488657,2.216666666666667,1.6566666666666663,-0.20000000000000107,-1.700000000000001
1986Q1,7.033333333333334,2.98925395241741,3.1968372766541986,2.459999999999999,0.7299999999999995,-0.43333333333333535,-1.833333333333334
1986Q2,7.166666666666667,2.077250524149737,3.344496767440282,2.670000000000001,0.6833333333333336,-0.9000000000000004,-1.9333333333333336
1986Q3,6.966666666666666,1.822234877675721,3.605502790616441,2.873333333333332,1.1000000000000014,-0.9666666666666659,-1.7333333333333325
1986Q4,6.833333333333333,1.7315659735579783,3.9621815182455657,2.830000000000001,0.9966666666666661,-1.0,-1.466666666666666
1987Q1,6.599999999999999,1.9682263695523479,4.011297447599689,2.4666666666666677,0.9733333333333327,-0.8999999999999986,-1.299999999999999
1987Q2,6.266666666666667,3.0336569555781243,4.168846299514591,2.0133333333333336,1.6933333333333342,-0.8000000000000007,-0.9333333333333336
1987Q3,6.0,3.449829922433101,4.256585047331312,2.0299999999999994,2.033333333333333,-0.5333333333333341,-0.2999999999999998
1987Q4,5.833333333333333,3.706336427440715,4.278434741063423,2.2566666666666677,2.206666666666666,-0.5,0.2999999999999998
1988Q1,5.7,3.5505422805218947,4.367554088113172,2.336666666666666,1.753333333333332,-0.5,0.9000000000000004
