Variables ->,dyobs,lur,dp,ptr,rff,tr
1966Q1,8.54447086323778,3.8666666666666667,1.997885777026678,,4.56,
1966Q2,0.24417672737589488,3.8333333333333335,3.243699353922791,,4.913333333333333,
1966Q3,2.232898234093449,3.766666666666667,3.2862730925905206,,5.41,
1966Q4,2.0742754948895965,3.6999999999999997,3.441061129422953,,5.5633333333333335,
1967Q1,2.2028317351231568,3.8333333333333335,2.1949687837058702,,4.823333333333333,
1967Q2,-1.2500714682009584,3.8333333333333335,2.668975677938838,,3.9899999999999998,
1967Q3,1.7990572160871676,3.7999999999999994,3.615087368106746,,3.893333333333333,
1967Q4,1.1900282195030294,3.9,4.0154692025668375,,4.173333333333333,
1968Q1,6.51893381592855,3.733333333333333,4.534071945614188,,4.79,
1968Q2,5.2715689679433275,3.5666666666666664,4.626578440940982,,5.983333333333333,
1968Q3,1.4566105771506606,3.533333333333333,4.446152761366902,,5.946666666666666,
1968Q4,-0.33293880495480976,3.4,4.628482678542768,,5.916666666666667,
1969Q1,4.419189970996285,3.4,4.346960231337235,,6.566666666666666,
1969Q2,-0.41635830794737777,3.4333333333333336,4.75921416496502,,8.326666666666666,
1969Q3,0.9196409399667321,3.5666666666666664,4.588205513839445,,8.983333333333333,
1969Q4,-3.88961964990726,3.5666666666666664,4.669994502201642,,8.94,
1970Q1,-2.669789665586648,4.166666666666667,4.331631827061596,,8.573333333333332,
1970Q2,-1.566855599590149,4.766666666666667,4.501232021571351,,7.886666666666667,
1970Q3,1.3946603797135253,5.166666666666667,4.425255820078773,,6.706666666666667,
1970Q4,-6.643229678696315,5.833333333333333,5.578496584947389,,5.566666666666666,
1971Q1,8.48857463079542,5.933333333333334,5.035661311945447,,3.856666666666667,
1971Q2,-0.11944911753583386,5.900000000000001,4.537100187050795,,4.566666666666666,
1971Q3,1.064485672605881,6.033333333333334,3.752285460302312,,5.476666666666667,
1971Q4,-1.3282808409303535,5.933333333333334,2.2775599374066795,,4.75,
1972Q1,2.77121788319837,5.766666666666667,3.8180178235609117,,3.546666666666667,
1972Q2,6.874071958372258,5.7,2.6963875214680195,,4.3,
1972Q3,1.6384877171550478,5.566666666666666,2.9961334919198603,,4.743333333333333,
1972Q4,4.730668953512235,5.366666666666667,2.5035745600283725,,5.1466666666666665,
1973Q1,7.720485998985939,4.933333333333334,2.7779538257489853,,6.536666666666666,
1973Q2,2.2668623809501365,4.933333333333334,5.411164663720563,,7.816666666666666,
1973Q3,-4.171917189527669,4.8,5.28135095372436,,10.56,
1973Q4,1.7562703179926242,4.766666666666667,5.530740481251143,,9.996666666666666,
1974Q1,-5.501160357193283,5.133333333333333,6.808986595624559,,9.323333333333332,
1974Q2,-1.0856045447378369,5.2,9.818474198532035,,11.25,
1974Q3,-5.8010210043999315,5.633333333333333,11.27137791351896,,12.089999999999998,
1974Q4,-3.5583026494903343,6.6000000000000005,9.65630004205854,,9.346666666666666,
1975Q1,-6.837733965870063,8.266666666666666,7.738195580555353,,6.303333333333334,
1975Q2,0.9573434974012927,8.866666666666667,6.0505778341663135,,5.419999999999999,
1975Q3,4.514347433718169,8.466666666666667,5.955494217974085,,6.16,
1975Q4,3.384756650635217,8.299999999999999,6.464274263736672,,5.413333333333334,
1976Q1,6.988294047039238,7.733333333333333,6.032426857947734,,4.826666666666667,
1976Q2,1.1247004327448777,7.566666666666666,4.770711805008095,,5.196666666666666,
1976Q3,0.2547428349729274,7.733333333333333,6.2164693322383595,,5.283333333333333,
1976Q4,1.107049278806393,7.766666666666667,6.212742401458639,,4.873333333333334,
1977Q1,2.9687490207276515,7.5,6.675394113945762,,4.66,
1977Q2,5.818933935627128,7.133333333333333,6.065925820269839,,5.156666666666666,
1977Q3,5.193347783340575,6.8999999999999995,6.598440788451038,,5.82,
1977Q4,-1.7710891684463672,6.666666666666667,5.770983078681721,,6.513333333333333,
1978Q1,-0.43831386607507067,6.333333333333333,6.1921004856623485,,6.756666666666667,
1978Q2,13.438890984929413,6.0,6.841999194304546,,7.283333333333334,
1978Q3,2.175375787847068,6.033333333333334,6.804538330614703,6.2,8.1,
1978Q4,3.4740375779421915,5.8999999999999995,7.116228124748579,,9.583333333333334,
1979Q1,-1.075117604400599,5.866666666666667,5.427513311087843,,10.073333333333332,
1979Q2,-1.2575690653783143,5.7,8.699484528236402,6.75,10.18,
1979Q3,1.134443321040796,5.866666666666667,7.314445668756702,,10.946666666666667,
1979Q4,-1.0659509267985852,5.966666666666666,8.25733796283237,,13.576666666666666,
1980Q1,-0.4447278104298316,6.3,9.667844145593255,,15.046666666666667,
1980Q2,-9.89187065624726,7.333333333333333,8.84973551544837,,12.686666666666667,
1980Q3,-2.132802074798334,7.666666666666667,8.80779857171566,8.61,9.836666666666666,
1980Q4,6.006205728391209,7.3999999999999995,9.628003496354067,8.82,15.853333333333333,
1981Q1,6.376372903891644,7.433333333333334,8.777534218946737,8.28,16.569999999999997,
1981Q2,-4.29249123601068,7.3999999999999995,7.48835904649916,7.87,17.78,
1981Q3,3.4088228783584738,7.3999999999999995,7.299513913421407,7.62,17.576666666666664,
1981Q4,-5.735936511913111,8.233333333333334,7.052303944498238,7.73,13.586666666666666,
1982Q1,-7.446860351276443,8.833333333333334,5.812344362375465,7.16,14.226666666666667,
1982Q2,0.6025690238693835,9.433333333333334,5.374375857830051,6.76,14.513333333333334,
1982Q3,-2.6968307013467867,9.9,6.361383864739152,6.765,11.006666666666666,
1982Q4,-1.0538459172074082,10.666666666666666,5.531929899447311,6.6,9.286666666666667,
1983Q1,4.177147426795322,10.366666666666667,5.219113653750239,6.32,8.653333333333334,
1983Q2,7.958609417158321,10.133333333333333,3.048479208060454,6.58,8.803333333333335,
1983Q3,6.787236253274714,9.366666666666667,6.033862987523192,6.63,9.459999999999999,
1983Q4,7.111768098791596,8.533333333333333,3.1878591219401953,6.65,9.43,
1984Q1,6.081940993253641,7.866666666666667,4.0190825761813525,6.58,9.686666666666667,
1984Q2,5.836304409566292,7.433333333333334,4.655607256620142,6.505,10.556666666666667,
1984Q3,2.7715724954454233,7.433333333333334,3.737672202381127,6.05,11.39,
1984Q4,2.0551971187732487,7.3,2.8366089322613206,5.7,9.266666666666667,
1985Q1,2.977529558465371,7.233333333333333,5.419260638802827,5.36,8.476666666666667,
1985Q2,2.552246386662349,7.3,3.4538467046140964,5.475,7.923333333333333,
1985Q3,5.014524524078321,7.2,4.087088453303999,5.695,7.8999999999999995,
1985Q4,1.782267136502071,7.033333333333334,2.858672780418326,5.615,8.103333333333333,
1986Q1,1.7449687616044343,7.033333333333334,4.29560314567599,5.285,7.826666666666667,
1986Q2,0.6968470140540912,7.166666666666667,2.733235918400352,5.2533,6.919999999999999,
1986Q3,2.6677027920379266,6.966666666666666,2.7377874355571326,5.12,6.206666666666666,
1986Q4,0.9699523396867628,6.833333333333333,3.243996831121692,5.1067,6.266666666666667,
1987Q1,1.5561872572878046,6.599999999999999,2.5252849464416727,5.285,6.22,
1987Q2,3.1367198033302355,6.266666666666667,3.864788691427308,5.295,6.6499999999999995,
1987Q3,2.382838675720146,6.0,3.5671314143315556,5.48,6.843333333333334,
1987Q4,5.825041294480343,5.833333333333333,4.044818652597751,5.14,6.916666666666667,
1988Q1,0.9728488299649412,5.7,3.841219553960777,5.235,6.663333333333334,
1988Q2,4.305391642292669,5.466666666666666,4.8187959313532325,5.045,7.156666666666666,
1988Q3,1.359868011337218,5.466666666666666,4.580718562874769,4.92,7.983333333333333,
